,NoI_Overall,NoI_University,NoI_College,NoI_Research,NoI_Engineering,NoI_Management,NoI_Pharmacy,NoI_Medical,NoI_Dental,NoI_Law,NoI_Architecture,NoI_Agriculture,NoI_Innovation,Total
Tamil Nadu,18,22.0,35.0,9.0,15.0,10.0,10.0,8.0,7.0,2.0,3.0,5.0,2.0,146.0
Delhi,7,7.0,32.0,5.0,7.0,9.0,2.0,7.0,2.0,4.0,2.0,1.0,1.0,86.0
Maharashtra,11,10.0,3.0,5.0,5.0,9.0,16.0,2.0,7.0,1.0,1.0,2.0,1.0,73.0
Karnataka,7,10.0,2.0,5.0,7.0,6.0,7.0,6.0,10.0,3.0,3.0,4.0,1.0,71.0
Uttar Pradesh,8,7.0,,5.0,7.0,11.0,11.0,4.0,3.0,4.0,1.0,4.0,2.0,67.0
Punjab,8,6.0,,4.0,6.0,5.0,10.0,2.0,1.0,3.0,3.0,3.0,,51.0
West Bengal,7,4.0,8.0,4.0,4.0,3.0,4.0,2.0,,2.0,2.0,2.0,,42.0
Kerala,4,4.0,14.0,,3.0,3.0,,2.0,1.0,,2.0,2.0,1.0,36.0
Odisha,4,3.0,,3.0,5.0,5.0,,3.0,2.0,3.0,1.0,1.0,,30.0
Gujarat,2,1.0,1.0,1.0,2.0,5.0,7.0,2.0,2.0,2.0,2.0,2.0,,29.0
Telangana,4,3.0,1.0,2.0,6.0,3.0,5.0,,1.0,1.0,,1.0,1.0,28.0
Rajasthan,4,2.0,,2.0,5.0,4.0,5.0,2.0,,1.0,1.0,,,26.0
Andhra Pradesh,2,4.0,,,4.0,3.0,9.0,,1.0,,1.0,2.0,,26.0
Uttarakhand,4,3.0,,1.0,3.0,4.0,1.0,1.0,,,1.0,1.0,1.0,20.0
Madhya Pradesh,2,,,1.0,4.0,2.0,,1.0,1.0,1.0,2.0,,,14.0
Assam,2,2.0,,1.0,2.0,1.0,2.0,,,1.0,,1.0,,12.0
Jharkhand,1,1.0,,1.0,2.0,4.0,1.0,,,1.0,1.0,,,12.0
Chandigarh,1,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,10.0
Himachal Pradesh,1,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,8.0
Bihar,1,,,,2.0,1.0,1.0,1.0,,,1.0,1.0,,8.0
Jammu And Kashmir,1,2.0,,,2.0,1.0,,,,,1.0,1.0,,8.0
Pondicherry,1,1.0,1.0,,,,,2.0,,,,,,5.0
